Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C2,14.8082mm,10.0330mm,TopLayer,240
C3,36.4236mm,21.8694mm,TopLayer,0
C4,29.2608mm,34.6456mm,TopLayer,60
C5,14.6558mm,34.8488mm,TopLayer,125
C1,7.5256mm,22.2758mm,TopLayer,180
C6,28.9814mm,9.7536mm,TopLayer,305
LED1,26.5264mm,9.7437mm,TopLayer,270
LED3,21.9417mm,9.7691mm,TopLayer,270
LED4,19.6493mm,9.7691mm,TopLayer,270
LED5,17.3570mm,9.7437mm,TopLayer,270
LED6,13.5029mm,11.5443mm,TopLayer,210
LED7,12.3001mm,13.5423mm,TopLayer,210
LED8,11.1317mm,15.5489mm,TopLayer,210
LED9,10.0395mm,17.5555mm,TopLayer,210
LED10,8.8457mm,19.5875mm,TopLayer,210
LED11,8.6499mm,24.3157mm,TopLayer,150
LED12,9.8275mm,26.3191mm,TopLayer,150
LED13,10.9867mm,28.3035mm,TopLayer,150
LED14,12.1551mm,30.3101mm,TopLayer,150
LED15,13.3489mm,32.2659mm,TopLayer,150
LED16,17.3394mm,34.6196mm,TopLayer,90
LED17,19.6254mm,34.6196mm,TopLayer,90
LED18,21.9114mm,34.6196mm,TopLayer,90
LED19,24.1974mm,34.6196mm,TopLayer,90
LED20,26.4834mm,34.6196mm,TopLayer,90
LED2,24.2340mm,9.7437mm,TopLayer,270
LED21,30.1486mm,32.4700mm,TopLayer,30
LED22,31.3260mm,30.4211mm,TopLayer,30
LED23,32.5362mm,28.3552mm,TopLayer,30
LED24,33.7554mm,26.3486mm,TopLayer,30
LED25,34.8984mm,24.2912mm,TopLayer,30
LED26,34.7404mm,20.0943mm,TopLayer,330
LED27,33.5792mm,17.9714mm,TopLayer,330
LED28,32.3854mm,15.9394mm,TopLayer,330
LED29,31.1916mm,13.8820mm,TopLayer,330
LED30,30.0486mm,11.8754mm,TopLayer,330
