Altium Designer Pick and Place Locations
Y:\FlexiGlow\FlexiGlow_Rev_A\Project Outputs for FlexiGlow_Rev_A\Folder Structure\Pick Place\FlexiGlow_Rev_A.csv

========================================================================================================================
File Design Information:

Date:       20/01/25
Time:       15:49
Revision:   c38dbedf7e9976875857aa0d1bcd3f51e01e88b7
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"C2","CAPC0402(1005)_N","14.8082mm","10.0330mm","14.8082mm","10.0330mm","15.0332mm","10.4227mm","TopLayer","240"
"C3","CAPC0402(1005)_N","36.4236mm","21.8694mm","36.4236mm","21.8694mm","35.9736mm","21.8694mm","TopLayer","0"
"C4","CAPC0402(1005)_N","29.2608mm","34.6456mm","29.2608mm","34.6456mm","29.0358mm","34.2559mm","TopLayer","60"
"C5","CAPC0402(1005)_N","14.6558mm","34.8488mm","14.6558mm","34.8488mm","14.9139mm","34.4802mm","TopLayer","125"
"C1","CAPC0402(1005)_N","7.5256mm","22.2758mm","7.5256mm","22.2758mm","7.9756mm","22.2758mm","TopLayer","180"
"C6","CAPC0402(1005)_N","28.9814mm","9.7536mm","28.9814mm","9.7536mm","28.7233mm","10.1222mm","TopLayer","305"
"LED1","WS2812C-2020","26.5264mm","9.7437mm","26.4232mm","9.7643mm","25.9764mm","8.8287mm","TopLayer","270"
"LED3","WS2812C-2020","21.9417mm","9.7691mm","21.8385mm","9.7897mm","21.3917mm","8.8541mm","TopLayer","270"
"LED4","WS2812C-2020","19.6493mm","9.7691mm","19.5461mm","9.7897mm","19.0993mm","8.8541mm","TopLayer","270"
"LED5","WS2812C-2020","17.3570mm","9.7437mm","17.2538mm","9.7643mm","16.8070mm","8.8287mm","TopLayer","270"
"LED6","WS2812C-2020","13.5029mm","11.5443mm","13.4692mm","11.6439mm","12.4355mm","11.5631mm","TopLayer","210"
"LED7","WS2812C-2020","12.3001mm","13.5423mm","12.2664mm","13.6420mm","11.2327mm","13.5612mm","TopLayer","210"
"LED8","WS2812C-2020","11.1317mm","15.5489mm","11.0980mm","15.6486mm","10.0643mm","15.5678mm","TopLayer","210"
"LED9","WS2812C-2020","10.0395mm","17.5555mm","10.0058mm","17.6552mm","8.9721mm","17.5744mm","TopLayer","210"
"LED10","WS2812C-2020","8.8457mm","19.5875mm","8.8120mm","19.6872mm","7.7783mm","19.6064mm","TopLayer","210"
"LED11","WS2812C-2020","8.6499mm","24.3157mm","8.7194mm","24.3947mm","8.1325mm","25.2495mm","TopLayer","150"
"LED12","WS2812C-2020","9.8275mm","26.3191mm","9.8970mm","26.3982mm","9.3101mm","27.2530mm","TopLayer","150"
"LED13","WS2812C-2020","10.9867mm","28.3035mm","11.0562mm","28.3825mm","10.4693mm","29.2373mm","TopLayer","150"
"LED14","WS2812C-2020","12.1551mm","30.3101mm","12.2246mm","30.3891mm","11.6377mm","31.2439mm","TopLayer","150"
"LED15","WS2812C-2020","13.3489mm","32.2659mm","13.4184mm","32.3449mm","12.8315mm","33.1997mm","TopLayer","150"
"LED16","WS2812C-2020","17.3394mm","34.6196mm","17.4426mm","34.5990mm","17.8894mm","35.5346mm","TopLayer","90"
"LED17","WS2812C-2020","19.6254mm","34.6196mm","19.7286mm","34.5990mm","20.1754mm","35.5346mm","TopLayer","90"
"LED18","WS2812C-2020","21.9114mm","34.6196mm","22.0146mm","34.5990mm","22.4614mm","35.5346mm","TopLayer","90"
"LED19","WS2812C-2020","24.1974mm","34.6196mm","24.3006mm","34.5990mm","24.7474mm","35.5346mm","TopLayer","90"
"LED20","WS2812C-2020","26.4834mm","34.6196mm","26.5866mm","34.5990mm","27.0334mm","35.5346mm","TopLayer","90"
"LED2","WS2812C-2020","24.2340mm","9.7437mm","24.1308mm","9.7643mm","23.6840mm","8.8287mm","TopLayer","270"
"LED21","WS2812C-2020","30.1486mm","32.4700mm","30.1824mm","32.3703mm","31.2160mm","32.4512mm","TopLayer","30"
"LED22","WS2812C-2020","31.3260mm","30.4211mm","31.3597mm","30.3214mm","32.3934mm","30.4023mm","TopLayer","30"
"LED23","WS2812C-2020","32.5362mm","28.3552mm","32.5700mm","28.2555mm","33.6036mm","28.3364mm","TopLayer","30"
"LED24","WS2812C-2020","33.7554mm","26.3486mm","33.7892mm","26.2489mm","34.8228mm","26.3298mm","TopLayer","30"
"LED25","WS2812C-2020","34.8984mm","24.2912mm","34.9322mm","24.1915mm","35.9658mm","24.2724mm","TopLayer","30"
"LED26","WS2812C-2020","34.7404mm","20.0943mm","34.6710mm","20.0152mm","35.2579mm","19.1605mm","TopLayer","330"
"LED27","WS2812C-2020","33.5792mm","17.9714mm","33.5098mm","17.8923mm","34.0966mm","17.0376mm","TopLayer","330"
"LED28","WS2812C-2020","32.3854mm","15.9394mm","32.3160mm","15.8603mm","32.9028mm","15.0056mm","TopLayer","330"
"LED29","WS2812C-2020","31.1916mm","13.8820mm","31.1222mm","13.8029mm","31.7090mm","12.9482mm","TopLayer","330"
"LED30","WS2812C-2020","30.0486mm","11.8754mm","29.9792mm","11.7963mm","30.5660mm","10.9416mm","TopLayer","330"
